date,ticker,date,open,high,low,close,volume,ex-dividend,split_ratio,adj_open,adj_high,adj_low,adj_close,adj_volume,20-Day SMA,100-Day SMA,Volatility,Lag Gap
4/10/2014,AMZN,4/10/2014,330.6,331,316.5,317.11,6126700,0,1,330.6,331,316.5,317.11,6126700,310.7875,323.30791,14.5,18.87
4/9/2014,AMZN,4/9/2014,328.47,332.18,322.5,331.805,5056600,0,1,328.47,332.18,322.5,331.805,5056600,312.031,323.08901,9.68,11.36
4/8/2014,AMZN,4/8/2014,321.88,328,318.44,327.07,6577600,0,1,321.88,328,318.44,327.07,6577600,314.20525,322.98326,9.56,-9.925
4/7/2014,AMZN,4/7/2014,320.99,324.94,313.13,317.76,7077400,0,1,320.99,324.94,313.13,317.76,7077400,315.92325,322.86356,11.81,-6.08
4/4/2014,AMZN,4/4/2014,335.15,335.44,315.61,323,12534600,0,1,335.15,335.44,315.61,323,12534600,316.94225,322.64096,19.83,17.39
4/3/2014,AMZN,4/3/2014,341.82,342.5,328.46,333.62,6399300,0,1,341.82,342.5,328.46,333.62,6399300,317.58975,322.43916,14.04,18.82
4/2/2014,AMZN,4/2/2014,345.99,348.295,340.38,341.96,4475500,0,1,345.99,348.295,340.38,341.96,4475500,318.87025,322.35706,7.915,12.37
4/1/2014,AMZN,4/1/2014,338.09,344.43,338,342.99,3600100,0,1,338.09,344.43,338,342.99,3600100,320.57375,322.43646,6.43,-3.87
3/31/2014,AMZN,3/31/2014,342.4,346.29,334.06,336.365,4297500,0,1,342.4,346.29,334.06,336.365,4297500,322.51675,322.55046,12.23,-0.59
3/28/2014,AMZN,3/28/2014,340.05,347,336.08,338.29,3986800,0,1,340.05,347,336.08,338.29,3986800,324.316,322.58501,10.92,3.685
3/27/2014,AMZN,3/27/2014,343.15,343.9999,330.88,338.47,5766400,0,1,343.15,343.9999,330.88,338.47,5766400,326.4015,322.61011,13.1199,4.86
3/26/2014,AMZN,3/26/2014,357.13,357.6,343.4,343.41,4120700,0,1,357.13,357.6,343.4,343.41,4120700,328.1335,322.64351,14.2,18.66
3/25/2014,AMZN,3/25/2014,354.03,358.97,348.84,354.71,4445700,0,1,354.03,358.97,348.84,354.71,4445700,328.4465,322.73231,10.13,10.62
3/24/2014,AMZN,3/24/2014,360.09,361.5,348.6,351.85,4873500,0,1,360.09,361.5,348.6,351.85,4873500,329.953,322.94311,12.9,5.38
3/21/2014,AMZN,3/21/2014,371,372.84,358.4,360.62,5414100,0,1,371,372.84,358.4,360.62,5414100,331.0795,323.12951,14.44,19.15
3/20/2014,AMZN,3/20/2014,370.64,373,366.22,368.97,2558500,0,1,370.64,373,366.22,368.97,2558500,332.567,323.47291,6.78,10.02
3/19/2014,AMZN,3/19/2014,378.77,379,369.42,373.23,2646700,0,1,378.77,379,369.42,373.23,2646700,334.77,323.96941,9.58,9.8
3/18/2014,AMZN,3/18/2014,377.32,379,375,378.77,2483500,0,1,377.32,379,375,378.77,2483500,337.2475,324.51841,4,4.09
3/17/2014,AMZN,3/17/2014,375.72,378.85,374.88,375.04,2303000,0,1,375.72,378.85,374.88,375.04,2303000,340.382,325.13811,3.97,-3.05
3/14/2014,AMZN,3/14/2014,372.8,378.568,371.55,373.74,4402200,0,1,372.8,378.568,371.55,373.74,4402200,343.3385,325.77401,7.018,-2.24
3/13/2014,AMZN,3/13/2014,376.62,383.11,368.08,371.51,6829000,0,1,376.62,383.11,368.08,371.51,6829000,346.439,326.37251,15.03,2.88
3/12/2014,AMZN,3/12/2014,366.4,371.16,363.61,370.64,2216600,0,1,366.4,371.16,363.61,370.64,2216600,349.159,326.96441,7.55,-5.11
3/11/2014,AMZN,3/11/2014,370.99,372.8,367.28,368.82,2246100,0,1,370.99,372.8,367.28,368.82,2246100,351.10075,327.53431,5.52,0.35
3/10/2014,AMZN,3/10/2014,372.69,372.73,367,370.53,2105800,0,1,372.69,372.73,367,370.53,2105800,353.18825,328.15191,5.73,3.87
3/7/2014,AMZN,3/7/2014,374.58,374.99,369.531,372.06,2279800,0,1,374.58,374.99,369.531,372.06,2279800,355.82675,328.72731,5.459,4.05
3/6/2014,AMZN,3/6/2014,374.05,375.33,368.9,372.16,2926600,0,1,374.05,375.33,368.9,372.16,2926600,358.27975,329.22281,6.43,1.99
3/5/2014,AMZN,3/5/2014,364.13,372.728,363.9,372.37,3848300,0,1,364.13,372.728,363.9,372.37,3848300,360.20675,329.74441,8.828,-8.03
3/4/2014,AMZN,3/4/2014,363.9,365.68,362.46,363.9,2704400,0,1,363.9,365.68,362.46,363.9,2704400,361.72725,330.26401,3.22,-8.47
3/3/2014,AMZN,3/3/2014,358.735,360.96,354.48,359.78,2798300,0,1,358.735,360.96,354.48,359.78,2798300,362.77275,330.66291,6.48,-5.165
2/28/2014,AMZN,2/28/2014,360.6,365.865,357.084,362.1,3882000,0,1,360.6,365.865,357.084,362.1,3882000,363.9435,330.67461,8.781,0.82
2/27/2014,AMZN,2/27/2014,357.22,360.59,355.5,360.13,3104900,0,1,357.22,360.59,355.5,360.13,3104900,365.134,330.71421,5.09,-4.88
2/26/2014,AMZN,2/26/2014,359.86,364.75,357.17,359.8,3622100,0,1,359.86,364.75,357.17,359.8,3622100,366.217,330.70711,7.58,-0.27
2/25/2014,AMZN,2/25/2014,353,361.08,351.58,358.32,3736400,0,1,353,361.08,351.58,358.32,3736400,367.0365,330.70751,9.5,-6.8
2/24/2014,AMZN,2/24/2014,345.19,353,343.29,351.78,3644700,0,1,345.19,353,343.29,351.78,3644700,367.217,330.70411,9.71,-13.13
2/21/2014,AMZN,2/21/2014,352.44,354.141,346.75,346.76,4210000,0,1,352.44,354.141,346.75,346.76,4210000,367.2135,330.69737,7.391,0.66
2/20/2014,AMZN,2/20/2014,348.8,350.46,344.38,349.8,3492800,0,1,348.8,350.46,344.38,349.8,3492800,366.5205,330.60597,6.08,2.04
2/19/2014,AMZN,2/19/2014,352.64,354.54,346.1,347.38,4168100,0,1,352.64,354.54,346.1,347.38,4168100,365.562,330.55957,8.44,2.84
2/18/2014,AMZN,2/18/2014,355.28,355.73,349.45,353.65,4998000,0,1,355.28,355.73,349.45,353.65,4998000,364.2695,330.48017,6.28,7.9
2/14/2014,AMZN,2/14/2014,359.34,359.34,353.35,357.35,3520200,0,1,359.34,359.34,353.35,357.35,3520200,363.0135,330.55467,5.99,5.69
2/13/2014,AMZN,2/13/2014,347.7,357.2,346.5,357.2,4175000,0,1,347.7,357.2,346.5,357.2,4175000,362.129,330.84897,10.7,-9.65
2/12/2014,AMZN,2/12/2014,356.43,357.75,346.32,349.25,6587700,0,1,356.43,357.75,346.32,349.25,6587700,361.302,331.12127,11.43,-0.77
2/11/2014,AMZN,2/11/2014,361.842,363.61,356.25,361.79,3222100,0,1,361.842,363.61,356.25,361.79,3222100,360.189,331.37567,7.36,12.592
