,Date,CCI
1314,2011-08-07,99.47685
1315,2011-08-08,99.6312
1316,2011-08-09,99.82861
1317,2011-08-10,99.98564
1318,2011-08-11,100.1532
1319,2011-08-12,100.2518
1320,2011-08-13,100.2273
1321,2011-08-14,100.1685
1322,2011-08-15,100.1154
1323,2011-08-16,100.1186
1324,2011-08-17,100.184
1325,2011-08-18,100.2696
1326,2011-08-19,100.2207
1327,2011-08-20,100.115
1328,2011-08-21,100.0965
1329,2011-08-22,100.1572
1330,2011-08-23,100.1554
1331,2011-08-24,100.079
1332,2011-08-25,100.0471
1333,2011-08-26,99.95487
1334,2011-08-27,99.93712
1335,2011-08-28,99.92096
1336,2011-08-29,99.85938
1337,2011-08-30,99.74741999999999
1338,2011-08-31,99.68372
1339,2011-09-01,99.55088
1340,2011-09-02,99.40292
1341,2011-09-03,99.38224
1342,2011-09-04,99.32814
1343,2011-09-05,99.22909
1344,2011-09-06,99.061
1345,2011-09-07,98.67052
1346,2011-09-08,98.2668
1347,2011-09-09,98.38039
1348,2011-09-10,98.54059000000001
1349,2011-09-11,98.45657
1350,2011-09-12,98.50466
1351,2011-09-13,99.16493
1352,2011-09-14,100.1099
1353,2011-09-15,99.42194
1354,2011-09-16,99.08332
1355,2011-09-17,98.68629
1356,2011-09-18,98.20765
1357,2011-09-19,97.75198
1358,2011-09-20,97.41753
1359,2011-09-21,97.33445
1360,2011-09-22,97.42523
1361,2011-09-23,97.4358
1362,2011-09-24,97.1524
1363,2011-09-25,96.88946999999999
1364,2011-09-26,96.7291
1365,2011-09-27,96.64010999999999
1366,2011-09-28,96.63293
1367,2011-09-29,96.85088
1368,2011-09-30,97.30331
1369,2011-10-01,97.76255
1370,2011-10-02,98.12206
1371,2011-10-03,98.35512
1372,2011-10-04,98.57271
1373,2011-10-05,98.81628
1374,2011-10-06,98.9431
1375,2011-10-07,99.00058
1376,2011-10-08,99.09751
1377,2011-10-09,99.20583
1378,2011-10-10,99.24469
1379,2011-10-11,99.24875
1380,2011-10-12,99.21966
1381,2011-10-13,99.16711
1382,2011-10-14,99.11237
1383,2011-10-15,99.0229
1384,2011-10-16,98.98808000000001
1385,2011-10-17,98.97793
1386,2011-10-18,99.03251
1387,2011-10-19,99.15825
1388,2011-10-20,99.24077
1389,2011-10-21,99.2384
1390,2011-10-22,99.14125
1391,2011-10-23,98.89658
1392,2011-10-24,98.74083
1393,2011-10-25,98.71268
1394,2011-10-26,98.59505
1395,2011-10-27,98.29921999999999
1396,2011-10-28,97.95702
1397,2011-10-29,97.81818
1398,2011-10-30,97.85184
1399,2011-10-31,98.0204
1400,2011-11-01,98.25111
1401,2011-11-02,98.50224
1402,2011-11-03,98.684
1403,2011-11-04,98.77783000000001
1404,2011-11-05,98.78584000000001
1405,2011-11-06,98.74826
1406,2011-11-07,98.62682
1407,2011-11-08,98.53452
1408,2011-11-09,98.5069
1409,2011-11-10,98.53654
1410,2011-11-11,98.59533
1411,2011-11-12,98.59834000000001
1412,2011-11-13,98.54952
1413,2011-11-14,98.62739
1414,2011-11-15,98.75685
1415,2011-11-16,98.87343
1416,2011-11-17,98.98399
1417,2011-11-18,99.15101999999999
1418,2011-11-19,99.28756
1419,2011-11-20,99.38653000000001
1420,2011-11-21,99.38438000000001
1421,2011-11-22,99.31228
1422,2011-11-23,99.2363
1423,2011-11-24,99.26906
1424,2011-11-25,99.37592
1425,2011-11-26,99.44548
1426,2011-11-27,99.49804
1427,2011-11-28,99.58995
1428,2011-11-29,99.70863
1429,2011-11-30,99.76682
1430,2011-12-01,99.77831
1431,2011-12-02,99.75494
1432,2011-12-03,99.74959
1433,2011-12-04,99.77419
1434,2011-12-05,99.83561999999999
1435,2011-12-06,99.95014
1436,2011-12-07,100.1511
1437,2011-12-08,100.359
1438,2011-12-09,100.477
1439,2011-12-10,100.5161
1440,2011-12-11,100.5056
1441,2011-12-12,100.4374
1442,2011-12-13,100.3923
1443,2011-12-14,100.294
1444,2011-12-15,100.2138
1445,2011-12-16,100.1909
1446,2011-12-17,100.3205
1447,2011-12-18,100.4903
1448,2011-12-19,100.5508
1449,2011-12-20,100.471
1450,2011-12-21,100.3268
1451,2011-12-22,100.2354
1452,2011-12-23,100.2336
1453,2011-12-24,100.3044
1454,2011-12-25,100.3071
1455,2011-12-26,100.2434
1456,2011-12-27,100.2389
1457,2011-12-28,100.2732
1458,2011-12-29,100.3064
1459,2011-12-30,100.3858
1460,2011-12-31,100.4585
1461,2012-01-01,100.4585
1462,2012-01-02,100.4585
1463,2012-01-03,100.4585
1464,2012-01-04,100.4585
1465,2012-01-05,100.4585
1466,2012-01-06,100.4585
1467,2012-01-07,100.4585
1468,2012-01-08,100.4585
1469,2012-01-09,100.4585
1470,2012-01-10,100.4585
1471,2012-01-11,100.4585
1472,2012-01-12,100.4585
1473,2012-01-13,100.4585
1474,2012-01-14,100.4585
1475,2012-01-15,100.4585
1476,2012-01-16,100.4585
1477,2012-01-17,100.4585
1478,2012-01-18,100.4585
1479,2012-01-19,100.4585
1480,2012-01-20,100.4585
1481,2012-01-21,100.4585
1482,2012-01-22,100.4585
1483,2012-01-23,100.4585
1484,2012-01-24,100.4585
1485,2012-01-25,100.4585
1486,2012-01-26,100.4585
1487,2012-01-27,100.4585
1488,2012-01-28,100.4585
1489,2012-01-29,100.4585
1490,2012-01-30,100.4585
1491,2012-01-31,100.4585
1492,2012-02-01,100.4665
1493,2012-02-02,100.4857
1494,2012-02-03,100.5693
1495,2012-02-04,100.6708
1496,2012-02-05,100.7489
1497,2012-02-06,100.7854
1498,2012-02-07,100.8296
1499,2012-02-08,100.8973
1500,2012-02-09,100.9656
1501,2012-02-10,101.0533
1502,2012-02-11,101.0768
1503,2012-02-12,101.0686
1504,2012-02-13,101.0809
1505,2012-02-14,101.1141
1506,2012-02-15,101.1232
1507,2012-02-16,101.0945
1508,2012-02-17,101.0757
1509,2012-02-18,101.08200000000001
1510,2012-02-19,101.1011
1511,2012-02-20,101.0507
1512,2012-02-21,100.9725
1513,2012-02-22,100.8682
1514,2012-02-23,100.74799999999999
1515,2012-02-24,100.6452
1516,2012-02-25,100.5903
1517,2012-02-26,100.6624
1518,2012-02-27,100.7601
1519,2012-02-28,100.7912
1520,2012-02-29,100.7648
1521,2012-03-01,100.6681
1522,2012-03-02,100.5324
1523,2012-03-03,100.3749
1524,2012-03-04,100.3563
1525,2012-03-05,100.4414
1526,2012-03-06,100.5972
1527,2012-03-07,100.7065
1528,2012-03-08,100.6345
1529,2012-03-09,100.1539
1530,2012-03-10,99.11068
1531,2012-03-11,97.99314
1532,2012-03-12,97.62096
1533,2012-03-13,97.78544000000001
1534,2012-03-14,98.00888
1535,2012-03-15,98.23695
1536,2012-03-16,98.46651999999999
1537,2012-03-17,98.61969
1538,2012-03-18,99.75323
1539,2012-03-19,99.32283000000001
1540,2012-03-20,99.16468
1541,2012-03-21,98.8257
1542,2012-03-22,98.24937
1543,2012-03-23,97.50746
1544,2012-03-24,96.95876
1545,2012-03-25,96.8143
1546,2012-03-26,96.81302
1547,2012-03-27,96.74583
1548,2012-03-28,96.87438
1549,2012-03-29,97.08733000000001
1550,2012-03-30,97.41704
1551,2012-03-31,97.67475999999999
1552,2012-04-01,97.76628000000001
1553,2012-04-02,98.04149
1554,2012-04-03,98.8992
1555,2012-04-04,99.86665
1556,2012-04-05,100.7536
1557,2012-04-06,101.4819
1558,2012-04-07,101.9959
1559,2012-04-08,102.3309
1560,2012-04-09,102.479
1561,2012-04-10,102.4336
1562,2012-04-11,102.4211
1563,2012-04-12,102.64200000000001
1564,2012-04-13,102.8666
1565,2012-04-14,103.01100000000001
1566,2012-04-15,103.02600000000001
1567,2012-04-16,103.1329
1568,2012-04-17,103.1626
1569,2012-04-18,103.0946
1570,2012-04-19,102.9887
1571,2012-04-20,102.7877
1572,2012-04-21,102.6888
1573,2012-04-22,102.6616
1574,2012-04-23,102.6608
1575,2012-04-24,102.4635
1576,2012-04-25,102.1253
1577,2012-04-26,101.7985
1578,2012-04-27,101.5008
1579,2012-04-28,101.13799999999999
1580,2012-04-29,100.4607
1581,2012-04-30,99.46431
1582,2012-05-01,98.68764
1583,2012-05-02,98.34875
1584,2012-05-03,98.28675
1585,2012-05-04,98.49046
1586,2012-05-05,98.8567
1587,2012-05-06,99.17644
1588,2012-05-07,99.64156
1589,2012-05-08,99.95574
1590,2012-05-09,100.0081
1591,2012-05-10,99.97649
1592,2012-05-11,100.0096
1593,2012-05-12,99.87862
1594,2012-05-13,99.59
1595,2012-05-14,99.36411
1596,2012-05-15,99.27871999999999
1597,2012-05-16,99.26719
1598,2012-05-17,99.50742
1599,2012-05-18,99.71229
1600,2012-05-19,99.95215
1601,2012-05-20,100.0705
1602,2012-05-21,100.0891
1603,2012-05-22,100.2422
1604,2012-05-23,100.5773
1605,2012-05-24,100.8028
1606,2012-05-25,100.9399
1607,2012-05-26,101.2101
1608,2012-05-27,101.5195
1609,2012-05-28,101.5679
1610,2012-05-29,101.29799999999999
1611,2012-05-30,100.9617
1612,2012-05-31,100.7443
1613,2012-06-01,100.7212
1614,2012-06-02,100.8474
1615,2012-06-03,100.9432
1616,2012-06-04,100.9091
1617,2012-06-05,100.8197
1618,2012-06-06,100.6927
1619,2012-06-07,100.38799999999999
1620,2012-06-08,100.1143
1621,2012-06-09,100.0507
1622,2012-06-10,99.89944
1623,2012-06-11,99.74605
1624,2012-06-12,99.64169
1625,2012-06-13,99.5666
1626,2012-06-14,99.61041
1627,2012-06-15,99.62965
1628,2012-06-16,99.62148
1629,2012-06-17,99.62863
1630,2012-06-18,99.48172
1631,2012-06-19,99.28568
1632,2012-06-20,99.14907
1633,2012-06-21,99.22829
1634,2012-06-22,99.25686999999999
1635,2012-06-23,99.30131
1636,2012-06-24,99.315
1637,2012-06-25,99.24559
1638,2012-06-26,99.17311
1639,2012-06-27,99.15167
1640,2012-06-28,99.16804
1641,2012-06-29,99.46676
1642,2012-06-30,100.0403
1643,2012-07-01,100.5203
1644,2012-07-02,100.7043
1645,2012-07-03,100.6079
1646,2012-07-04,100.5079
1647,2012-07-05,100.5075
1648,2012-07-06,100.5227
1649,2012-07-07,100.5859
1650,2012-07-08,100.6031
1651,2012-07-09,100.4427
1652,2012-07-10,100.2977
1653,2012-07-11,100.2769
1654,2012-07-12,100.3981
1655,2012-07-13,100.6464
